snapshot_time_utc,slug,event_id,event_title,event_updatedAt,event_endDate,market_id,condition_id,market_question,K,yes_token_id,no_token_id,pPM,qPM,pPM_source,qPM_source,T_days,T_years
2026-01-18 12:13:01.555712+00:00,nvda-above-on-january-16-2026,154137,Will NVIDIA (NVDA) finish week of January 12 above___?,2026-01-18T00:21:28.25224Z,2026-01-16 21:00:00+00:00,1146649,0xce5f2b8805427a1b2f803ba6a96d9972f8ebd89313e00c768984c6b188dfdd71,Will NVIDIA (NVDA) finish week of January 12 above $210?,210.0,51638017562277440094905758278541921160756575214090267251015863944534802465124,18503617591128767029863240148906489979015201405141972897347945565946939389114,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,nvda-above-on-january-16-2026,154137,Will NVIDIA (NVDA) finish week of January 12 above___?,2026-01-18T00:21:28.25224Z,2026-01-16 21:00:00+00:00,1146651,0x5619bfba0b973c4ce6831b0eec618c1a6d430420174b46c7fb93e471d11ed70b,Will NVIDIA (NVDA) finish week of January 12 above $215?,215.0,14125236269164297372269047707699369554627267846909767884597488771629536939611,40655566967120850000951455070816188042725762349541796836154524286311743932362,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146454,0x54d2ada3db518f18cea3527d5aac5692ef5b7ac7de214e7094777e1e7780d2ba,Will Apple (AAPL) finish week of January 12 above $230?,230.0,81147198265970526495095929465964563315630120171236508977337417679183720604289,93101502003687542256983579530434251419483612317944193980999772727293386571209,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146456,0x8755ee4cd92ff0a801902121172552cb90b0b940d449fb83b011dd60e30d3aae,Will Apple (AAPL) finish week of January 12 above $235?,235.0,74637196712440938651437955465607671413053904026627481275621716297781939412426,6005606063547824630245779799466835647755928477540682928295371079082487501193,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146458,0x3d5da6dc79ba89210b3f6569a4055e35a85d1fab9ce940b7c88f9569b71648e3,Will Apple (AAPL) finish week of January 12 above $240?,240.0,84885088304314509179265916174341293966511361326552567303165041525832722200618,44505767915476577297466806170927631067782456702743937762059655538223270074978,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146460,0x462e8b2b44f31fb12f09e91456f73479a1f8e7064f2d8a778f6159b9ef99cdd4,Will Apple (AAPL) finish week of January 12 above $245?,245.0,18825040317821910400796699251533796264783208645764523879757972652837160593860,114588789377882975712475985460740439147538620305161407047701911926647484284511,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146461,0xd24b0f8d619dd2f807983de54235a75b9dbb2550bda7b741d00b8f7b58f67064,Will Apple (AAPL) finish week of January 12 above $250?,250.0,27112156756594771198446863955090483710951760725342327525011415751362880403924,3028026299328797282532619418283060198238926695580089917056018978006477403265,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146463,0xfe9c28a2c38ce6c3b492b6043ae7754323a375728172e82a829e4a01aa8b4c46,Will Apple (AAPL) finish week of January 12 above $255?,255.0,115055560880908047521526756986360470431570704760876462332499500118659267992162,110462521475739311316802916021744846048819012837400483204376871453449104329242,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146465,0x04a11d316b795abaf8ea0e291f86889d35949e6cd6c502b2b4b801fb4bddaf1b,Will Apple (AAPL) finish week of January 12 above $260?,260.0,72625041936548613072169756136850559397789124300823312061865522167577969047029,67805581059136202276800520369764082145057127240902276115435973350381493209506,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146467,0x5c9c6eb2d98e8705e2621ad13a9cd4391476d7bb975f99dca5078863ee217a88,Will Apple (AAPL) finish week of January 12 above $265?,265.0,17747111555636814030635215239563145278798836990139656166271525174430616238542,83518218713550548238723868022464341511752770967323300747759082631202733643945,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146469,0x0abce928fb8dffeace2b90887b43e60a21af43982f7cbfc5ecc8e7d14191401d,Will Apple (AAPL) finish week of January 12 above $270?,270.0,86786477933541797083097956903360089570818665235013176353312722049445096203498,79710333098569856510248455295071638679096987682219593572541302097232751688488,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
